Date,BTC-EUR (Price),BTC-EUR (Change),BTC-EUR (Change),Gen,Gold (Price),Gld,Gold (Change),,SPX-500 (Price),SPX-500 (Change),Myfund (Price),Myfund-Change,MVIS Price,MVIS Change,
3/8/2020,"7,077.40",-10.38%,-0.10,-10.38,,0.00,,0.00,,,1.780098,-5.53%,1962.68,-15.20%,
3/9/2020,"6,955.60",-1.72%,-0.02,-1.72,"1,668.10",0.07,0.00,0.07,"2,746.56",-7.60%,1.600218,-10.11%,2001.05,1.95%,
3/10/2020,"6,978.10",0.32%,0.00,0.32,"1,651.50",-0.90,-0.01,-0.90,"2,882.23",4.94%,1.600275,0.00%,1986.06,-0.75%,
3/11/2020,"7,058.80",1.16%,0.01,1.16,"1,641.70",-1.09,-0.01,-1.09,"2,741.38",-4.89%,1.616276,1.00%,1943.07,-2.16%,
3/12/2020,"4,405.50",-37.59%,-0.38,-37.59,"1,568.70",-3.15,-0.03,-3.15,"2,480.64",-9.51%,1.452863,-10.11%,1186.64,-38.93%,
3/13/2020,"5,111.00",16.01%,0.16,16.01,"1,514.30",-4.62,-0.05,-4.62,"2,711.02",9.29%,0.945114,-34.95%,1427.27,20.28%,
3/14/2020,"4,691.60",-8.21%,-0.08,-8.21,,0.00,,0.00,,,1.108297,17.27%,1310.3,-8.20%,
3/15/2020,"4,823.10",2.80%,0.03,2.8,,0.00,,0.00,,,1.023101,-7.69%,1373.02,4.79%,
3/16/2020,"4,525.80",-6.17%,-0.06,-6.17,"1,458.80",-2.04,-0.02,-2.04,"2,386.13",-11.98%,0.999486,-2.31%,1269.12,-7.57%,
3/17/2020,"4,876.20",7.74%,0.08,7.74,"1,476.30",2.70,0.03,2.70,"2,529.19",6.00%,0.96984,-2.97%,1312.65,3.43%,
3/18/2020,"4,951.00",1.53%,0.02,1.53,"1,485.20",-3.06,-0.03,-3.06,"2,398.10",-5.18%,1.012863,4.44%,1317.05,0.34%,
3/19/2020,"5,828.00",17.71%,0.18,17.71,"1,476.90",0.15,0.00,0.15,"2,409.39",0.47%,1.003267,-0.95%,1489.27,13.08%,
3/20/2020,"5,819.80",-0.14%,0.00,-0.14,"1,468.00",0.38,0.00,0.38,"2,304.92",-4.34%,1.182192,17.83%,1479.59,-0.65%,
3/21/2020,"5,817.20",-0.05%,0.00,-0.05,,0.00,,0.00,,,1.179445,-0.23%,1490.01,0.70%,
3/22/2020,"5,471.40",-5.94%,-0.06,-5.94,,0.00,,0.00,,,1.20364,2.05%,1380.39,-7.36%,
3/23/2020,"6,048.80",10.55%,0.11,10.55,"1,498.90",5.77,0.06,5.77,"2,237.40",-2.93%,1.098337,-8.75%,1514.26,9.70%,
3/24/2020,"6,277.30",3.78%,0.04,3.78,"1,578.00",5.16,0.05,5.16,"2,447.33",9.38%,1.180135,7.45%,1559.89,3.01%,
3/25/2020,"6,166.40",-1.77%,-0.02,-1.77,"1,607.50",-1.79,-0.02,-1.79,"2,475.56",1.15%,1.230985,4.31%,1527.14,-2.10%,
3/26/2020,"6,132.10",-0.56%,-0.01,-0.56,"1,615.00",1.76,0.02,1.76,"2,630.07",6.24%,1.207179,-1.93%,1579.98,3.46%,
3/27/2020,"5,747.10",-6.28%,-0.06,-6.28,"1,631.90",-0.42,0.00,-0.42,"2,541.47",-3.37%,1.216416,0.77%,1505.72,-4.70%,
3/28/2020,"5,629.30",-2.05%,-0.02,-2.05,,0.00,,0.00,,,1.112552,-8.54%,1500.5,-0.35%,
3/29/2020,"5,288.30",-6.06%,-0.06,-6.06,,0.00,,0.00,,,1.117921,0.48%,1433.71,-4.45%,
3/30/2020,"5,809.10",9.85%,0.10,9.85,"1,634.60",-0.66,-0.01,-0.66,"2,626.65",3.35%,1.085379,-2.91%,1512.97,5.53%,
3/31/2020,"5,839.80",0.53%,0.01,0.53,"1,590.80",-2.83,-0.03,-2.83,"2,584.59",-1.60%,1.157186,6.62%,1521.59,0.57%,
4/1/2020,"6,079.90",4.11%,0.04,4.11,"1,577.70",-0.32,0.00,-0.32,"2,470.50",-4.41%,1.163546,0.55%,1552.8,2.05%,
4/2/2020,"6,259.00",2.95%,0.03,2.95,"1,596.70",2.91,0.03,2.91,"2,526.90",2.28%,1.202491,3.35%,1594.83,2.71%,
4/3/2020,"6,247.80",-0.18%,0.00,-0.18,"1,625.30",0.46,0.00,0.46,"2,488.65",-1.51%,1.246117,3.63%,1599.83,0.31%,
4/4/2020,"6,367.80",1.92%,0.02,1.92,,0.00,,0.00,,,1.236989,-0.73%,1621.92,1.38%,
4/5/2020,"6,287.10",-1.27%,-0.01,-1.27,,0.00,,0.00,,,1.256881,1.61%,1601.39,-1.27%,
4/6/2020,"6,801.00",8.17%,0.08,8.17,"1,640.00",2.83,0.03,2.83,"2,663.68",7.03%,1.258768,0.15%,1800.96,12.46%,
4/7/2020,"6,612.00",-2.78%,-0.03,-2.78,"1,674.30",-0.56,-0.01,-0.56,"2,659.41",-0.16%,1.386994,10.19%,1764.07,-2.05%,
4/8/2020,"6,787.40",2.65%,0.03,2.65,"1,673.90",0.02,0.00,0.02,"2,749.98",3.41%,1.42155,2.49%,1828.26,3.64%,
4/9/2020,"6,685.50",-1.50%,-0.02,-1.5,"1,679.20",4.13,0.04,4.13,"2,789.82",1.45%,1.446566,1.76%,1806.9,-1.17%,
4/10/2020,"6,295.40",-5.83%,-0.06,-5.83,"1,740.60",-0.74,-0.01,-0.74,,,1.424821,-1.50%,1682.43,-6.89%,
4/11/2020,"6,312.40",0.27%,0.00,0.27,,0.00,,0.00,,,1.397209,-1.94%,1674.49,-0.47%,
4/12/2020,"6,331.30",0.30%,0.00,0.3,,0.00,,0.00,,,1.372177,-1.79%,1703.03,1.70%,
4/13/2020,"6,286.70",-0.70%,-0.01,-0.7,"1,725.00",1.27,0.01,1.27,"2,761.63",-1.01%,1.364554,-0.56%,1666.25,-2.16%,
4/14/2020,"6,271.40",-0.24%,0.00,-0.24,"1,750.00",0.48,0.00,0.48,"2,846.06",3.06%,1.397561,2.42%,1663.52,-0.16%,
4/15/2020,"6,084.50",-2.98%,-0.03,-2.98,"1,736.40",-1.50,-0.02,-1.50,"2,783.36",-2.20%,1.381687,-1.14%,1613.68,-3.00%,
4/16/2020,"6,548.40",7.62%,0.08,7.62,"1,727.60",-0.48,0.00,-0.48,"2,799.55",0.58%,1.332316,-3.57%,1746.5,8.23%,
4/17/2020,"6,483.40",-0.99%,-0.01,-0.99,"1,695.50",-1.94,-0.02,-1.94,"2,874.56",2.68%,1.452768,9.04%,1732.23,-0.82%,
4/18/2020,"6,683.10",3.08%,0.03,3.08,,0.00,,0.00,,,1.467098,0.99%,1824.1,5.30%,
4/19/2020,"6,570.20",-1.69%,-0.02,-1.69,,0.00,,0.00,,,1.534496,4.59%,1771.32,-2.89%,
4/20/2020,"6,308.60",-3.98%,-0.04,-3.98,"1,689.20",0.74,0.01,0.74,"2,823.16",-1.79%,1.516265,-1.19%,1687.56,-4.73%,
4/21/2020,"6,324.10",0.25%,0.00,0.25,"1,670.30",-1.35,-0.01,-1.35,"2,736.56",-3.07%,1.442581,-4.86%,1696.58,0.53%,
4/22/2020,"6,593.40",4.26%,0.04,4.26,"1,700.00",3.04,0.03,3.04,"2,799.31",2.29%,1.434823,-0.54%,1777.57,4.77%,
4/23/2020,"6,927.00",5.06%,0.05,5.06,"1,736.00",0.43,0.00,0.43,"2,797.80",-0.05%,1.514835,5.58%,1832.28,3.08%,
4/24/2020,"6,944.60",0.26%,0.00,0.26,"1,733.00",-0.53,-0.01,-0.53,"2,836.74",1.39%,1.60644,6.05%,1844.18,0.65%,
4/25/2020,"6,990.10",0.65%,0.01,0.65,,0.00,,0.00,,,1.583448,-1.43%,1862.16,0.97%,
4/26/2020,"7,123.90",1.91%,0.02,1.91,,0.00,,0.00,,,1.601665,1.15%,1896.88,1.86%,
4/27/2020,"7,203.80",1.12%,0.01,1.12,"1,726.80",-0.59,-0.01,-0.59,"2,878.48",1.47%,1.6267,1.56%,1907.83,0.58%,
4/28/2020,"7,179.90",-0.33%,0.00,-0.33,"1,712.70",-0.01,0.00,-0.01,"2,863.39",-0.52%,1.612027,-0.90%,1948.03,2.11%,
4/29/2020,"8,079.10",12.52%,0.13,12.52,"1,718.00",-0.51,-0.01,-0.51,"2,939.51",2.66%,1.6383,1.63%,2118.13,8.73%,
4/30/2020,"7,900.70",-2.21%,-0.02,-2.21,"1,697.70",-1.02,-0.01,-1.02,"2,912.43",-0.92%,1.851451,13.01%,2029.26,-4.20%,
5/1/2020,"8,039.20",1.75%,0.02,1.75,"1,688.00",0.42,0.00,0.42,"2,830.71",-2.81%,1.728267,-6.65%,2083.5,2.67%,
5/2/2020,"8,178.30",1.73%,0.02,1.73,,0.00,,0.00,,,1.749479,1.23%,2133.23,2.39%,
5/3/2020,"8,136.40",-0.51%,-0.01,-0.51,,0.00,,0.00,,,1.79807,2.78%,2088.15,-2.11%,
5/4/2020,"8,157.00",0.25%,0.00,0.25,"1,711.80",0.81,0.01,0.81,"2,842.74",0.42%,1.721097,-4.28%,2065.83,-1.07%,
5/5/2020,"8,338.20",2.22%,0.02,2.22,"1,710.50",0.12,0.00,0.12,"2,868.44",0.90%,1.754268,1.93%,2061.17,-0.23%,
5/6/2020,"8,493.60",1.86%,0.02,1.86,"1,698.80",-1.37,-0.01,-1.37,"2,848.42",-0.70%,1.775872,1.23%,2029.95,-1.51%,
5/7/2020,"9,220.00",8.55%,0.09,8.55,"1,704.50",2.31,0.02,2.31,"2,881.19",1.15%,1.796419,1.16%,2151.53,5.99%,
5/8/2020,"9,057.20",-1.77%,-0.02,-1.77,"1,724.50",-0.49,0.00,-0.49,"2,929.80",1.69%,1.873255,4.28%,2149.78,-0.08%,
5/9/2020,"8,816.00",-2.66%,-0.03,-2.66,,0.00,,0.00,,,1.901315,1.50%,2126.14,-1.10%,
5/10/2020,"8,075.10",-8.40%,-0.08,-8.4,,0.00,,0.00,,,1.880894,-1.07%,1915.86,-9.89%,
5/11/2020,"7,966.30",-1.35%,-0.01,-1.35,"1,714.20",-0.82,-0.01,-0.82,"2,930.32",0.02%,1.718032,-8.66%,1888.64,-1.42%,
5/12/2020,"8,145.30",2.25%,0.02,2.25,"1,717.00",0.41,0.00,0.41,"2,870.12",-2.05%,1.674091,-2.56%,1933.03,2.35%,
5/13/2020,"8,615.90",5.78%,0.06,5.78,"1,721.00",0.54,0.01,0.54,"2,820.00",-1.75%,1.715214,2.46%,2002.88,3.61%,
5/14/2020,"9,055.80",5.11%,0.05,5.11,"1,735.00",1.42,0.01,1.42,"2,852.50",1.15%,1.814061,5.76%,2048.89,2.30%,
5/15/2020,"8,608.90",-4.93%,-0.05,-4.93,"1,758.00",0.95,0.01,0.95,"2,863.70",0.39%,1.853817,2.19%,1979.75,-3.37%,
5/16/2020,"8,685.60",0.89%,0.01,0.89,,0.00,,0.00,,,1.794552,-3.20%,2008.03,1.43%,
5/17/2020,"8,932.40",2.84%,0.03,2.84,,0.00,,0.00,,,1.807845,0.74%,2054.15,2.30%,
5/18/2020,"8,911.60",-0.23%,0.00,-0.23,"1,756.20",-1.02,-0.01,-1.02,"2,953.91",3.15%,1.850692,2.37%,2102.47,2.35%,
5/19/2020,"8,954.40",0.48%,0.00,0.48,"1,754.20",0.73,0.01,0.73,"2,922.94",-1.05%,1.85536,0.25%,2103.6,0.05%,
5/20/2020,"8,674.10",-3.13%,-0.03,-3.13,"1,773.00",0.47,0.00,0.47,"2,971.61",1.67%,1.866624,0.61%,2056.18,-2.25%,
5/21/2020,"8,283.40",-4.50%,-0.05,-4.5,"1,743.80",-1.76,-0.02,-1.76,"2,948.51",-0.78%,1.855109,-0.62%,1959.81,-4.69%,
5/22/2020,"8,418.70",1.63%,0.02,1.63,"1,750.60",0.87,0.01,0.87,"2,955.45",0.24%,1.76846,-4.67%,2018.95,3.02%,
5/23/2020,"8,427.30",0.10%,0.00,0.1,,0.00,,0.00,,,1.838683,3.97%,2012.59,-0.32%,
5/24/2020,"8,005.00",-5.01%,-0.05,-5.01,"1,729.80",-1.98,-0.02,-1.98,,,1.825546,-0.71%,1933.96,-3.91%,
5/25/2020,"8,170.00",2.06%,0.02,2.06,"1,719.25",-0.21,0.00,-0.21,,,1.795921,-1.62%,1977.68,2.26%,
5/26/2020,"8,067.90",-1.25%,-0.01,-1.25,"1,734.80",0.78,0.01,0.78,"2,991.77",1.23%,1.769838,-1.45%,1952.95,-1.25%,
5/27/2020,"8,362.20",3.65%,0.04,3.65,"1,714.80",0.00,0.00,0.00,"3,036.13",1.48%,1.741909,-1.58%,2015.13,3.18%,
5/28/2020,"8,644.00",3.37%,0.03,3.37,"1,734.30",0.13,0.00,0.13,"3,029.73",-0.21%,1.769746,1.60%,2088.38,3.64%,
5/29/2020,"8,504.40",-1.62%,-0.02,-1.62,"1,740.70",1.32,0.01,1.32,"3,044.31",0.48%,1.837371,3.82%,2072.57,-0.76%,
5/30/2020,"8,718.60",2.52%,0.03,2.52,,0.00,,0.00,,,1.840746,0.18%,2206.15,6.45%,
5/31/2020,"8,514.50",-2.34%,-0.02,-2.34,,0.00,,0.00,,,1.934803,5.11%,2123.55,-3.74%,
6/1/2020,"9,101.10",6.89%,0.07,6.89,"1,751.60",-0.11,0.00,-0.11,"3,055.73",0.38%,1.936754,0.10%,2260.83,6.46%,
6/2/2020,"8,530.50",-6.27%,-0.06,-6.27,"1,743.40",-0.79,-0.01,-0.79,"3,080.82",0.82%,1.990774,2.79%,2167.25,-4.14%,
6/3/2020,"8,610.90",0.94%,0.01,0.94,"1,707.50",-1.50,-0.02,-1.50,"3,122.87",1.36%,1.96918,-1.08%,2205.13,1.75%,
6/4/2020,"8,650.40",0.46%,0.00,0.46,"1,718.50",1.33,0.01,1.33,"3,112.35",-0.34%,1.984839,0.80%,2212.64,0.34%,
6/5/2020,"8,547.50",-1.19%,-0.01,-1.19,"1,690.10",-2.55,-0.03,-2.55,"3,193.93",2.62%,1.991132,0.32%,2184.73,-1.26%,
6/6/2020,"8,584.30",0.43%,0.00,0.43,,0.00,,0.00,,,1.973519,-0.88%,2193.63,0.41%,
6/7/2020,"8,630.10",0.53%,0.01,0.53,,0.00,,0.00,,,1.987694,0.72%,2203.2,0.44%,
6/8/2020,"8,649.90",0.23%,0.00,0.23,"1,700.10",1.29,0.01,1.29,"3,232.39",1.20%,1.976521,-0.56%,2214.35,0.51%,
6/9/2020,"8,634.30",-0.18%,0.00,-0.18,"1,715.90",0.96,0.01,0.96,"3,207.18",-0.78%,1.989847,0.67%,2195.95,-0.83%,
6/10/2020,"8,712.00",0.90%,0.01,0.9,"1,732.80",-0.07,0.00,-0.07,"3,190.14",-0.53%,1.986309,-0.18%,2224.11,1.28%,
6/11/2020,"8,221.40",-5.63%,-0.06,-5.63,"1,746.00",1.07,0.01,1.07,"3,002.10",-5.89%,1.996438,0.51%,2061.87,-7.29%,
6/12/2020,"8,417.50",2.39%,0.02,2.39,"1,746.90",-0.14,0.00,-0.14,"3,041.31",1.31%,1.910673,-4.30%,2118.31,2.74%,
6/13/2020,"8,422.10",0.05%,0.00,0.05,,0.00,,0.00,,,,0.00%,2122.16,0.18%,
6/14/2020,"8,299.40",-1.46%,-0.01,-1.46,,0.00,,0.00,,,,0.00%,2080.12,-1.98%,
6/15/2020,"8,321.30",0.26%,0.00,0.26,"1,724.60",-0.59,-0.01,-0.59,"3,066.59",0.83%,1.791442,-6.24%,2086.67,0.31%,
6/16/2020,"8,461.30",1.68%,0.02,1.68,"1,739.80",0.54,0.01,0.54,"3,124.74",1.90%,1.895451,5.81%,2106.89,0.97%,
6/17/2020,"8,425.50",-0.42%,0.00,-0.42,"1,735.60",-0.06,0.00,-0.06,"3,113.49",-0.36%,1.888695,-0.36%,2104.11,-0.13%,
6/18/2020,"8,380.00",-0.54%,-0.01,-0.54,"1,739.60",-0.31,0.00,-0.31,"3,115.34",0.06%,1.919923,1.65%,2077.23,-1.28%,
6/19/2020,"8,329.30",-0.61%,-0.01,-0.61,"1,745.50",1.18,0.01,1.18,"3,097.74",-0.56%,1.878118,-2.18%,2055.03,-1.07%,
6/20/2020,"8,373.80",0.53%,0.01,0.53,,0.00,,0.00,,,1.899036,1.11%,2062.38,0.36%,
6/21/2020,"8,314.80",-0.70%,-0.01,-0.7,,0.00,,0.00,,,1.903582,0.24%,2044.02,-0.89%,
6/22/2020,"8,587.30",3.28%,0.03,3.28,"1,769.00",0.74,0.01,0.74,"3,117.86",0.65%,1.92165,0.95%,2138.26,4.61%,
6/23/2020,"8,516.50",-0.82%,-0.01,-0.82,"1,774.00",0.86,0.01,0.86,"3,131.29",0.43%,1.973877,2.72%,2132.29,-0.28%,
6/24/2020,"8,271.50",-2.88%,-0.03,-2.88,"1,787.80",-0.25,0.00,-0.25,"3,050.33",-2.59%,2.006362,1.65%,2061.49,-3.32%,
6/25/2020,"8,251.90",-0.24%,0.00,-0.24,"1,781.60",-0.23,0.00,-0.23,"3,083.76",1.10%,1.898287,-5.39%,2045.36,-0.78%,
6/26/2020,"8,176.70",-0.91%,-0.01,-0.91,"1,772.00",0.56,0.01,0.56,"3,009.05",-2.42%,1.953267,2.90%,2034.18,-0.55%,
6/27/2020,"8,052.30",-1.52%,-0.02,-1.52,,0.00,,0.00,,,1.925731,-1.41%,1957.86,-3.75%,
6/28/2020,"8,138.20",1.07%,0.01,1.07,,0.00,,0.00,,,1.852338,-3.81%,1988.72,1.58%,
6/29/2020,"8,167.50",0.36%,0.00,0.36,"1,795.30",0.09,0.00,0.09,"3,053.24",1.47%,1.905376,2.86%,2007.04,0.92%,
6/30/2020,"8,145.30",-0.27%,0.00,-0.27,"1,794.00",1.13,0.01,1.13,"3,100.29",1.54%,1.923638,0.96%,1989.04,-0.90%,
7/1/2020,"8,219.00",0.90%,0.01,0.9,"1,789.80",-1.02,-0.01,-1.02,"3,115.86",0.50%,1.907764,-0.83%,2015.84,1.35%,
7/2/2020,"8,109.00",-1.34%,-0.01,-1.34,"1,788.30",0.56,0.01,0.56,"3,130.01",0.45%,1.9854,4.07%,1984.74,-1.54%,
7/3/2020,"8,077.00",-0.39%,0.00,-0.39,"1,783.65",-1.35,-0.01,-1.35,,,1.95623,-1.47%,1985.46,0.04%,
7/4/2020,"8,133.30",0.70%,0.01,0.7,,0.00,,0.00,,,1.973373,0.88%,2013.08,1.39%,
7/5/2020,"8,086.40",-0.58%,-0.01,-0.58,,0.00,,0.00,,,1.980435,0.36%,1998.75,-0.71%,
7/6/2020,"8,262.50",2.18%,0.02,2.18,"1,801.60",1.59,0.02,1.59,"3,179.72",1.59%,1.967398,-0.66%,2114.23,5.78%,
7/7/2020,"8,230.50",-0.39%,0.00,-0.39,"1,804.80",1.00,0.01,1.00,"3,145.32",-1.08%,2.092003,6.33%,2089.14,-1.19%,
7/8/2020,"8,341.50",1.35%,0.01,1.35,"1,829.10",0.89,0.01,0.89,"3,169.94",0.78%,2.213732,5.82%,2200.56,5.33%,
7/9/2020,"8,202.70",-1.66%,-0.02,-1.66,"1,829.60",-0.92,-0.01,-0.92,"3,152.05",-0.56%,2.213665,0.00%,2166.93,-1.53%,
7/10/2020,"8,235.80",0.40%,0.00,0.4,"1,825.50",-0.12,0.00,-0.12,"3,185.04",1.05%,2.189186,-1.11%,2154.18,-0.59%,
7/11/2020,"8,201.90",-0.41%,0.00,-0.41,,0.00,,0.00,,,2.192385,0.15%,2159.6,0.25%,
7/12/2020,"8,243.60",0.51%,0.01,0.51,,0.00,,0.00,,,2.226113,1.54%,2174.59,0.69%,
7/13/2020,"8,160.90",-1.00%,-0.01,-1,"1,831.60",0.68,0.01,0.68,"3,155.22",-0.94%,2.405461,8.06%,2142.48,-1.48%,
7/14/2020,"8,128.50",-0.40%,0.00,-0.4,"1,819.30",-0.12,0.00,-0.12,"3,197.52",1.34%,2.286215,-4.96%,2147.37,0.23%,
7/15/2020,"8,057.70",-0.87%,-0.01,-0.87,"1,831.90",0.01,0.00,0.01,"3,226.56",0.91%,2.396629,4.83%,2130.56,-0.78%,
7/16/2020,"8,024.90",-0.41%,0.00,-0.41,"1,819.90",-0.82,-0.01,-0.82,"3,215.57",-0.34%,2.405353,0.36%,2108.8,-1.02%,
7/17/2020,"8,032.90",0.10%,0.00,0.1,"1,821.00",0.39,0.00,0.39,"3,224.73",0.28%,2.37062,-1.44%,2108.68,-0.01%,
7/18/2020,"8,051.50",0.23%,0.00,0.23,,0.00,,0.00,,,2.333717,-1.56%,2130.32,1.03%,
7/19/2020,"8,071.90",0.25%,0.00,0.25,,0.00,,0.00,,,2.350326,0.71%,2142.94,0.59%,
7/20/2020,"8,022.20",-0.62%,-0.01,-0.62,"1,830.70",0.35,0.00,0.35,"3,251.84",0.84%,2.37787,1.17%,2105.15,-1.76%,
7/21/2020,"8,163.60",1.76%,0.02,1.76,"1,839.90",1.60,0.02,1.60,"3,257.30",0.17%,2.325239,-2.21%,2173.22,3.23%,
7/22/2020,"8,249.20",1.05%,0.01,1.05,"1,867.80",1.23,0.01,1.23,"3,276.02",0.57%,2.347695,0.97%,2251.15,3.59%,
7/23/2020,"8,307.20",0.70%,0.01,0.7,"1,890.40",1.31,0.01,1.31,"3,235.66",-1.23%,2.462615,4.90%,2291.21,1.78%,
7/24/2020,"8,222.40",-1.02%,-0.01,-1.02,"1,908.00",0.41,0.00,0.41,"3,215.63",-0.62%,2.478349,0.64%,2274.62,-0.72%,
7/25/2020,"8,356.40",1.63%,0.02,1.63,,0.00,,0.00,,,2.555854,3.13%,2413.4,6.10%,
7/26/2020,"8,529.40",2.07%,0.02,2.07,,0.00,,0.00,,,2.662222,4.16%,2430.85,0.72%,
7/27/2020,"9,336.20",9.46%,0.09,9.46,"1,926.80",1.57,0.02,1.57,"3,239.41",0.74%,2.727639,2.46%,2582.5,6.24%,
7/28/2020,"9,338.20",0.02%,0.00,0.02,"1,927.50",0.43,0.00,0.43,"3,218.44",-0.65%,2.816407,3.25%,2616.49,1.32%,
7/29/2020,"9,448.80",1.18%,0.01,1.18,"1,955.70",0.65,0.01,0.65,"3,258.44",1.24%,2.842987,0.94%,2655.24,1.48%,
7/30/2020,"9,384.10",-0.68%,-0.01,-0.68,"1,952.30",-0.50,-0.01,-0.50,"3,246.22",-0.38%,2.846371,0.12%,2706.71,1.94%,
7/31/2020,"9,648.00",2.81%,0.03,2.81,"1,971.40",0.97,0.01,0.97,"3,271.12",0.77%,2.87403,0.97%,2803.19,3.56%,
8/1/2020,"10,043.10",4.10%,0.04,4.1,,0.00,,0.00,,,2.964889,3.16%,3055,8.98%,
8/2/2020,"9,400.10",-6.40%,-0.06,-6.4,,0.00,,0.00,,,3.191233,7.63%,2899.84,-5.08%,
8/3/2020,"9,571.80",1.83%,0.02,1.83,"1,975.20",0.02,0.00,0.02,"3,294.61",0.72%,3.077563,-3.56%,3021.03,4.18%,
8/4/2020,"9,501.00",-0.74%,-0.01,-0.74,"1,982.60",1.75,0.02,1.75,"3,306.51",0.36%,3.13816,1.97%,2998.35,-0.75%,
8/5/2020,"9,912.70",4.33%,0.04,4.33,"2,027.50",1.40,0.01,1.40,"3,327.77",0.64%,3.198622,1.93%,3073.06,2.49%,
8/6/2020,"9,934.10",0.22%,0.00,0.22,"2,049.00",0.98,0.01,0.98,"3,349.16",0.64%,3.263124,2.02%,3076.12,0.10%,
8/7/2020,"9,865.70",-0.69%,-0.01,-0.69,"2,024.80",-2.00,-0.02,-2.00,"3,351.28",0.06%,3.22454,-1.18%,2990.77,-2.77%,
8/8/2020,"9,999.50",1.36%,0.01,1.36,,0.00,,0.00,,,3.177941,-1.45%,3049.76,1.97%,
8/9/2020,"9,941.50",-0.58%,-0.01,-0.58,,0.00,,0.00,,,3.30895,4.12%,2998.74,-1.67%,
8/10/2020,"10,137.40",1.97%,0.02,1.97,"2,027.80",0.58,0.01,0.58,"3,360.47",0.27%,3.3231,0.43%,3048.3,1.65%,
8/11/2020,"9,720.90",-4.11%,-0.04,-4.11,"1,911.30",-4.58,-0.05,-4.58,"3,333.69",-0.80%,3.348747,0.77%,2901.29,-4.82%,
8/12/2020,"9,829.90",1.12%,0.01,1.12,"1,874.20",0.14,0.00,0.14,"3,380.35",1.40%,3.189153,-4.77%,2936.49,1.21%,
8/13/2020,"9,974.20",1.47%,0.01,1.47,"1,923.00",1.10,0.01,1.10,"3,373.43",-0.20%,3.293362,3.27%,3089.71,5.22%,
8/14/2020,"9,960.80",-0.13%,0.00,-0.13,"1,939.10",-1.05,-0.01,-1.05,"3,372.85",-0.02%,3.471579,5.41%,3132.6,1.39%,
8/15/2020,"10,027.10",0.67%,0.01,0.67,,0.00,,0.00,,,3.534327,1.81%,3145.29,0.41%,
8/16/2020,"10,063.90",0.37%,0.00,0.37,,0.00,,0.00,,,3.572679,1.09%,3196.88,1.64%,
8/17/2020,"10,359.70",2.94%,0.03,2.94,"1,939.10",2.51,0.03,2.51,"3,381.99",0.27%,3.572722,0.00%,3263.93,2.10%,
8/18/2020,"10,032.10",-3.16%,-0.03,-3.16,"1,985.20",0.72,0.01,0.72,"3,389.78",0.23%,3.660376,2.45%,3159.98,-3.18%,
8/19/2020,"9,941.20",-0.91%,-0.01,-0.91,"1,930.50",-2.13,-0.02,-2.13,"3,374.85",-0.44%,3.542773,-3.21%,3046.73,-3.58%,
8/20/2020,"10,011.70",0.71%,0.01,0.71,"1,928.90",-1.21,-0.01,-1.21,"3,385.51",0.32%,3.419292,-3.49%,3089.83,1.41%,
8/21/2020,"9,794.30",-2.17%,-0.02,-2.17,"1,916.60",0.03,0.00,0.03,"3,397.16",0.34%,3.473425,1.58%,2934.81,-5.02%,
8/22/2020,"9,914.50",1.23%,0.01,1.23,,0.00,,0.00,,,3.329353,-4.15%,2991.24,1.92%,
8/23/2020,"9,894.80",-0.20%,0.00,-0.2,,0.00,,0.00,,,3.370591,1.24%,2980.14,-0.37%,
8/24/2020,"9,987.00",0.93%,0.01,0.93,"1,930.80",-0.40,0.00,-0.40,"3,431.28",1.00%,3.362769,-0.23%,3045.21,2.18%,
8/25/2020,"9,595.20",-3.92%,-0.04,-3.92,"1,919.10",-0.83,-0.01,-0.83,"3,443.62",0.36%,3.420847,1.73%,2894.3,-4.96%,
8/26/2020,"9,693.50",1.02%,0.01,1.02,"1,908.40",1.53,0.02,1.53,"3,478.73",1.02%,3.223122,-5.78%,2906.64,0.43%,
8/27/2020,"9,597.60",-0.99%,-0.01,-0.99,"1,914.70",-1.02,-0.01,-1.02,"3,484.55",0.17%,3.284536,1.91%,2836.16,-2.42%,
8/28/2020,"9,706.50",1.14%,0.01,1.14,"1,928.20",2.19,0.02,2.19,"3,508.01",0.67%,3.209828,-2.27%,2908.12,2.54%,
8/29/2020,"9,670.10",-0.38%,0.00,-0.38,,0.00,,0.00,,,3.26853,1.83%,2918.31,0.35%,
8/30/2020,"9,839.40",1.75%,0.02,1.75,,0.00,,0.00,,,3.331001,1.91%,3060.66,4.88%,
8/31/2020,"9,783.50",-0.57%,-0.01,-0.57,"1,962.30",0.19,0.00,0.19,"3,500.31",-0.22%,3.403058,2.16%,3047.66,-0.42%,
9/1/2020,"10,007.70",2.29%,0.02,2.29,"1,969.20",0.02,0.00,0.02,"3,526.65",0.75%,3.436372,0.98%,3224.3,5.80%,
9/2/2020,"9,643.50",-3.64%,-0.04,-3.64,"1,938.90",-1.73,-0.02,-1.73,"3,580.84",1.54%,3.682974,7.18%,3004.12,-6.83%,
9/3/2020,"8,625.00",-10.56%,-0.11,-10.56,"1,927.20",-0.35,0.00,-0.35,"3,455.06",-3.51%,3.43031,-6.86%,2612.19,-13.05%,
9/4/2020,"8,860.20",2.73%,0.03,2.73,"1,921.60",-0.18,0.00,-0.18,"3,426.96",-0.81%,3.178766,-7.33%,2687.15,2.87%,
