Date,Myfund (Price),Myfund (Change),BTC-EUR (Price),BTC-EUR (Change),BTC-EUR (Change),Risk,Gold (Price),Gold (Change),SPX-500 (Price),SPX-500 (Change)
2020-08-15,3.534327,1.807477,"10,027.10",0.67%,0.0067,0.67,,,,
2020-08-16,3.572679,1.085129,"10,063.90",0.37%,0.0037,0.37,,,,
2020-08-17,3.572722,0.001204,"10,359.70",2.94%,0.03,2.94,"1,939.10",2.51%,"3,381.99",0.27%
2020-08-18,3.660376,2.453423,"10,032.10",-3.16%,-0.03,-3.16,"1,985.20",0.72%,"3,389.78",0.23%
2020-08-19,3.542773,-3.21287,"9,941.20",-0.91%,-0.01,-0.91,"1,930.50",-2.13%,"3,374.85",-0.44%
2020-08-20,3.419292,-3.48543,"10,011.70",0.71%,0.01,0.71,"1,928.90",-1.21%,"3,385.51",0.32%
2020-08-21,3.473425,1.583164,"9,794.30",-2.17%,-0.02,-2.17,"1,916.60",0.03%,"3,397.16",0.34%
2020-08-22,3.329353,-4.14784,"9,914.50",1.23%,0.0123,1.23,,,,
2020-08-23,3.370591,1.238619,"9,894.80",-0.20%,-0.002,-0.2,,,,
2020-08-24,3.362769,-0.23207,"9,987.00",0.93%,0.01,0.93,"1,930.80",-0.40%,"3,431.28",1.00%
2020-08-25,3.420847,1.727089,"9,595.20",-3.92%,-0.04,-3.92,"1,919.10",-0.83%,"3,443.62",0.36%
2020-08-26,3.223122,-5.78,"9,693.50",1.02%,0.01,1.02,"1,908.40",1.53%,"3,478.73",1.02%
2020-08-27,3.284536,1.90542,"9,597.60",-0.99%,-0.01,-0.99,"1,914.70",-1.02%,"3,484.55",0.17%
2020-08-28,3.209828,-2.27454,"9,706.50",1.14%,0.01,1.14,"1,928.20",2.19%,"3,508.01",0.67%
2020-08-29,3.26853,1.828821,"9,670.10",-0.38%,-0.0038,-0.38,,,,
2020-08-30,3.331001,1.911287,"9,839.40",1.75%,0.0175,1.75,,,,
2020-08-31,3.403058,2.163224,"9,783.50",-0.57%,-0.01,-0.57,"1,962.30",0.19%,"3,500.31",-0.22%
2020-09-01,3.436372,0.978943,"10,007.70",2.29%,0.02,2.29,"1,969.20",0.02%,"3,526.65",0.75%
2020-09-02,3.682974,7.176231,"9,643.50",-3.64%,-0.04,-3.64,"1,938.90",-1.73%,"3,580.84",1.54%
2020-09-03,3.43031,-6.86033,"8,625.00",-10.56%,-0.11,-10.56,"1,927.20",-0.35%,"3,455.06",-3.51%
2020-09-04,3.178766,-7.33298,"8,860.20",2.73%,0.03,2.73,"1,921.60",-0.18%,"3,426.96",-0.81%
2020-09-05,3.125735,-1.66829,"8,602.70",-2.91%,-0.0291,-2.91,,,,
2020-09-06,2.79802,-10.4844,"8,678.30",0.88%,0.01,0.88,"1,937.65",0.33%,,
2020-09-07,2.938788,5.030986,"8,792.80",1.32%,0.01,1.32,"1,930.45",-0.18%,,
2020-09-08,2.869155,-2.36945,"8,617.50",-1.99%,-0.02,-1.99,"1,911.70",0.31%,"3,331.84",-2.78%
2020-09-09,2.838428,-1.07094,"8,679.90",0.72%,0.01,0.72,"1,926.30",0.60%,"3,398.96",2.01%
2020-09-10,2.920579,2.894243,"8,770.90",1.05%,0.01,1.05,"1,948.60",0.48%,"3,339.19",-1.76%
2020-09-11,2.982824,2.131255,"8,795.00",0.27%,0.00,0.27,"1,944.00",-0.83%,"3,340.97",0.05%
2020-09-12,2.979508,-0.11117,"8,831.50",0.41%,0.0041,0.41,,,,
2020-09-13,3.035974,1.895145,"8,740.50",-1.03%,-0.0103,-1.03,,,,
2020-09-14,2.954454,-2.68513,"9,011.00",3.09%,0.03,3.09,"1,945.20",0.81%,"3,383.54",1.27%
2020-09-15,3.049846,3.228752,"9,118.30",1.19%,0.01,1.19,"1,955.60",0.13%,"3,401.20",0.52%
2020-09-16,3.017266,-1.06825,"9,285.80",1.84%,0.02,1.84,"1,957.20",0.22%,"3,385.49",-0.46%
2020-09-17,3.024699,0.246349,"9,246.00",-0.43%,0.00,-0.43,"1,938.20",-1.05%,"3,357.01",-0.84%
2020-09-18,3.091946,2.223263,"9,245.40",-0.01%,0.00,-0.01,"1,951.10",0.63%,"3,319.47",-1.12%
2020-09-19,3.033211,-1.89961,"9,370.80",1.36%,0.0136,1.36,,,,
2020-09-20,3.05095,0.584826,"9,233.30",-1.47%,-0.0147,-1.47,,,,
2020-09-21,2.965365,-2.80519,"8,868.80",-3.95%,-0.04,-3.95,"1,885.40",-2.62%,"3,281.06",-1.16%
2020-09-22,2.831285,-4.52153,"9,003.70",1.52%,0.02,1.52,"1,898.90",-0.16%,"3,315.57",1.05%
2020-09-23,2.866012,1.226546,"8,790.20",-2.37%,-0.02,-2.37,"1,856.00",-2.05%,"3,236.92",-2.37%
2020-09-24,2.741229,-4.35389,"9,192.30",4.57%,0.05,4.57,"1,851.00",0.45%,"3,246.59",0.30%
2020-09-25,2.890598,5.448979,"9,196.20",0.04%,0.00,0.04,"1,854.10",-0.56%,"3,298.46",1.60%
2020-09-26,3.002638,3.876015,"9,226.90",0.33%,0.0033,0.33,,,,
2020-09-27,2.964958,-1.2549,"9,262.30",0.38%,0.0038,0.38,,,,
2020-09-28,2.985099,0.679301,"9,164.00",-1.06%,-0.01,-1.06,"1,851.10",0.86%,"3,351.60",1.61%
2020-09-29,3.05016,2.179526,"9,240.60",0.84%,0.01,0.84,"1,880.80",1.11%,"3,335.47",-0.48%
2020-09-30,2.970572,-2.60931,"9,196.60",-0.48%,0.00,-0.48,"1,885.80",-0.40%,"3,363.00",0.83%
2020-10-01,2.955388,-0.51115,"9,051.70",-1.57%,-0.02,-1.57,"1,890.00",1.10%,"3,380.80",0.53%
2020-10-02,2.917508,-1.28173,"9,033.30",-0.20%,0.00,-0.20,"1,895.20",-0.45%,"3,348.44",-0.96%
2020-10-03,2.846934,-2.41898,"9,024.60",-0.10%,-0.001,-0.1,,,,
2020-10-04,2.899836,1.85821,"9,109.70",0.94%,0.0094,0.94,,,,
2020-10-05,2.921085,0.732766,"9,151.00",0.45%,0.00,0.45,"1,891.20",0.66%,"3,408.63",1.80%
2020-10-06,2.925896,0.164699,"9,039.60",-1.22%,-0.01,-1.22,"1,878.20",-0.59%,"3,360.95",-1.40%
2020-10-07,2.847928,-2.66476,"9,072.90",0.37%,0.00,0.37,"1,877.10",-0.94%,"3,419.45",1.74%
2020-10-08,2.85978,0.416162,"9,283.70",2.32%,0.02,2.32,"1,885.30",0.23%,"3,446.83",0.80%
2020-10-09,2.930407,2.469665,"9,348.70",0.70%,0.01,0.70,"1,898.00",1.64%,"3,477.13",0.88%
2020-10-10,3.010031,2.717165,"9,522.70",1.86%,0.0186,1.86,,,,
2020-10-11,3.082473,2.406686,"9,621.40",1.04%,0.0104,1.04,,,,
2020-10-12,3.077853,-0.14988,"9,757.40",1.41%,0.01,1.41,"1,923.80",0.14%,"3,534.22",1.64%
2020-10-13,3.212362,4.370222,"9,736.30",-0.22%,0.00,-0.22,"1,889.30",-1.78%,"3,511.93",-0.63%
2020-10-14,3.181512,-0.96035,"9,738.20",0.02%,0.00,0.02,"1,885.00",0.67%,"3,488.67",-0.66%
2020-10-15,3.111558,-2.19877,"9,830.00",0.94%,0.01,0.94,"1,892.70",0.08%,"3,483.34",-0.15%
2020-10-16,3.12737,0.50817,"9,674.80",-1.58%,-0.02,-1.58,"1,901.10",-0.13%,"3,483.81",0.01%
2020-10-17,3.0549,-2.31728,"9,705.00",0.31%,0.0031,0.31,,,,
2020-10-18,3.066077,0.365871,"9,827.20",1.26%,0.0126,1.26,,,,
2020-10-19,3.111809,1.491548,"9,987.30",1.63%,0.02,1.63,"1,900.20",0.28%,"3,426.92",-1.63%
2020-10-20,3.136584,0.796161,"10,079.90",0.93%,0.01,0.93,"1,896.60",0.19%,"3,443.12",0.47%
2020-10-21,3.057852,-2.51012,"10,770.40",6.85%,0.07,6.85,"1,911.60",0.74%,"3,435.56",-0.22%
2020-10-22,3.252747,6.373592,"10,980.90",1.95%,0.02,1.95,"1,894.20",-1.29%,"3,453.49",0.52%
2020-10-23,3.389424,4.201895,"10,893.70",-0.79%,-0.01,-0.79,"1,895.20",0.03%,"3,465.39",0.34%
2020-10-24,3.30445,-2.50703,"11,046.70",1.40%,0.014,1.4,,,,
2020-10-25,3.331341,0.813781,"10,998.00",-0.44%,-0.0044,-0.44,,,,
2020-10-26,3.308769,-0.67756,"11,076.00",0.71%,0.01,0.71,"1,892.50",0.03%,"3,400.97",-1.86%
2020-10-27,3.259763,-1.48109,"11,621.00",4.92%,0.05,4.92,"1,898.70",0.33%,"3,390.68",-0.30%
2020-10-28,3.3657,3.249837,"11,319.10",-2.60%,-0.03,-2.60,"1,869.10",-1.71%,"3,271.03",-3.53%
2020-10-29,3.24501,-3.58588,"11,529.40",1.86%,0.02,1.86,"1,859.20",-0.60%,"3,310.11",1.19%
2020-10-30,3.238611,-0.1972,"11,644.10",0.99%,0.01,0.99,"1,863.30",0.64%,"3,269.96",-1.21%
2020-10-31,3.24871,0.311831,"11,850.60",1.77%,0.0177,1.77,,,,
2020-11-01,3.304558,1.719082,"11,822.60",-0.24%,-0.0024,-0.24,,,,
2020-11-02,3.324067,0.590366,"11,659.40",-1.38%,-0.01,-1.38,"1,873.30",0.67%,"3,310.24",1.23%
2020-11-03,3.244509,-2.39339,"11,929.40",2.32%,0.02,2.32,"1,887.60",0.95%,"3,369.16",1.78%
2020-11-04,3.244492,-0.00052,"12,067.30",1.16%,0.01,1.16,"1,881.80",-0.74%,"3,443.44",2.20%
2020-11-05,3.318488,2.280665,"13,189.90",9.30%,0.09,9.30,"1,902.20",2.67%,"3,510.45",1.95%
2020-11-06,3.486949,5.076438,"13,137.10",-0.40%,0.00,-0.40,"1,937.20",0.25%,"3,509.44",-0.03%
2020-11-07,3.656806,4.871221,"12,429.00",-5.39%,-0.0539,-5.39,,,,
2020-11-08,3.486412,-4.65964,"12,985.10",4.47%,0.0447,4.47,,,,
2020-11-09,3.640005,4.405475,"12,960.40",-0.19%,0.00,-0.19,"1,848.00",-4.99%,"3,550.50",1.17%
2020-11-10,3.60317,-1.01195,"12,969.00",0.07%,0.00,0.07,"1,858.90",1.19%,"3,545.53",-0.14%
2020-11-11,3.687537,2.341466,"13,328.00",2.77%,0.03,2.77,"1,853.90",-0.79%,"3,572.66",0.77%
2020-11-12,3.753833,1.79784,"13,819.90",3.69%,0.04,3.69,"1,860.70",0.63%,"3,537.01",-1.00%
2020-11-13,3.750648,-0.08485,"13,803.00",-0.12%,0.00,-0.12,"1,872.10",0.69%,"3,585.15",1.36%
2020-11-14,3.816149,1.746392,"13,599.80",-1.47%,-0.0147,-1.47,,,,
2020-11-15,3.736977,-2.07466,"13,491.60",-0.80%,-0.008,-0.8,,,,
2020-11-16,3.659647,-2.06932,"14,094.90",4.47%,0.04,4.47,"1,861.50",0.08%,"3,626.91",1.16%
2020-11-17,3.806823,4.02159,"14,890.00",5.64%,0.06,5.64,"1,876.30",-0.14%,"3,609.53",-0.48%
2020-11-18,3.976298,4.451875,"15,012.40",0.82%,0.01,0.82,"1,860.30",-0.59%,"3,567.79",-1.16%
2020-11-19,3.979025,0.068581,"15,033.20",0.14%,0.00,0.14,"1,850.00",-0.66%,"3,581.87",0.39%
2020-11-20,3.974187,-0.12159,"15,743.10",4.72%,0.05,4.72,"1,859.10",0.59%,"3,557.54",-0.68%
2020-11-21,4.190885,5.452637,"15,743.50",0.00%,0,0,,,,
2020-11-22,4.570661,9.061952,"15,529.40",-1.36%,-0.0136,-1.36,,,,
2020-11-23,4.736027,3.617989,"15,528.10",-0.01%,0.00,-0.01,"1,828.00",-1.85%,"3,577.59",0.56%
2020-11-24,5.118362,8.072906,"16,114.20",3.77%,0.04,3.77,"1,803.70",-1.46%,"3,635.41",1.62%
2020-11-25,5.304745,3.641458,"15,728.00",-2.40%,-0.02,-2.40,"1,804.70",0.02%,"3,629.65",-0.16%
2020-11-26,5.041303,-4.96616,"14,410.20",-8.38%,-0.08,-8.38,"1,804.20",-0.23%,,
2020-11-27,4.522483,-10.2914,"14,342.60",-0.47%,0.00,-0.47,"1,776.50",-1.05%,"3,638.35",0.24%
2020-11-28,4.462637,-1.3233,"14,849.00",3.53%,0.0353,3.53,,,,
2020-11-29,4.828868,8.206605,"15,207.00",2.41%,0.0241,2.41,,,,
2020-11-30,4.900536,1.484157,"16,427.40",8.03%,0.08,8.03,"1,767.20",-0.40%,"3,621.63",-0.46%
2020-12-01,5.227302,6.667964,"15,578.50",-5.17%,-0.05,-5.17,"1,778.40",2.13%,"3,662.45",1.13%
2020-12-02,4.966768,-4.9841,"15,877.50",1.92%,0.02,1.92,"1,810.50",0.62%,"3,669.01",0.18%
2020-12-03,4.996902,0.606712,"16,020.70",0.90%,0.01,0.90,"1,826.70",0.60%,"3,666.72",-0.06%
2020-12-04,5.097862,2.020452,"15,417.30",-3.77%,-0.04,-3.77,"1,832.00",-0.06%,"3,699.12",0.88%
2020-12-05,4.708313,-7.64142,"15,824.90",2.64%,0.0264,2.64,,,,
2020-12-06,4.891999,3.901312,"15,983.70",1.00%,0.01,1,,,,
2020-12-07,4.950562,1.197118,"15,843.60",-0.88%,-0.01,-0.88,"1,824.80",1.41%,"3,691.96",-0.19%
2020-12-08,4.908771,-0.84417,"15,143.50",-4.42%,-0.04,-4.42,"1,863.90",0.48%,"3,702.25",0.28%
2020-12-09,4.60584,-6.17122,"15,375.30",1.53%,0.02,1.53,"1,828.20",-1.94%,"3,672.82",-0.79%
2020-12-10,4.774771,3.667757,"15,037.60",-2.20%,-0.02,-2.20,"1,831.50",-0.06%,"3,668.10",-0.13%
2020-12-11,4.644046,-2.73783,"14,893.30",-0.96%,-0.01,-0.96,"1,826.80",0.34%,"3,663.46",-0.13%
2020-12-12,4.609147,-0.75148,"15,545.50",4.38%,0.0438,4.38,,,,
2020-12-13,4.673265,1.391103,"15,786.60",1.55%,0.0155,1.55,,,,
2020-12-14,4.755949,1.769298,"15,864.10",0.49%,0.00,0.49,"1,820.00",-0.62%,"3,647.49",-0.44%
2020-12-15,4.776917,0.440879,"15,997.50",0.84%,0.01,0.84,"1,828.50",1.27%,"3,694.62",1.29%
2020-12-16,4.737698,-0.82101,"17,506.40",9.43%,0.09,9.43,"1,848.20",0.20%,"3,701.17",0.18%
2020-12-17,5.140738,8.507085,"18,598.00",6.24%,0.06,6.24,"1,865.90",1.68%,"3,722.48",0.58%
2020-12-18,5.318467,3.457266,"18,872.00",1.47%,0.01,1.47,"1,881.90",-0.08%,"3,709.41",-0.35%
2020-12-19,5.328134,0.181763,"19,403.90",2.82%,0.0282,2.82,,,,
2020-12-20,5.429048,1.893984,"19,203.30",-1.03%,-0.0103,-1.03,,,,
2020-12-21,5.266448,-2.995,"18,592.00",-3.18%,-0.03,-3.18,"1,859.00",-0.32%,"3,694.92",-0.39%
2020-12-22,5.126019,-2.66648,"19,535.70",5.08%,0.05,5.08,"1,863.70",-0.66%,"3,687.26",-0.21%
2020-12-23,5.10975,-0.31738,"19,091.70",-2.27%,-0.02,-2.27,"1,860.90",0.42%,"3,690.01",0.07%
2020-12-24,4.576007,-10.4456,"19,479.50",2.03%,0.02,2.03,"1,873.10",0.27%,"3,703.06",0.35%
2020-12-25,4.892582,6.918149,"20,229.40",3.85%,0.0385,3.85,,,,
2020-12-26,4.943649,1.043764,"21,648.20",7.01%,0.0701,7.01,,,,
2020-12-27,5.06067,2.367098,"21,360.50",-1.33%,-0.0133,-1.33,,,,
2020-12-28,5.173456,2.228677,"22,133.50",3.62%,0.04,3.62,"1,873.00",-0.15%,"3,735.36",0.87%
2020-12-29,5.396567,4.31261,"22,333.60",0.90%,0.01,0.90,"1,875.60",0.13%,"3,727.04",-0.22%
2020-12-30,5.381176,-0.2852,"23,481.30",5.14%,0.05,5.14,"1,879.50",0.56%,"3,732.04",0.13%
2020-12-31,5.497647,2.164415,"23,681.90",0.85%,0.01,0.85,"1,889.10",0.09%,"3,756.07",0.64%
2021-01-01,5.549117,0.936219,"24,035.60",1.49%,0.01,1.49,"1,901.60",0.34%,,
2021-01-02,5.554798,0.102377,"25,930.10",7.88%,0.0788,7.88,,,,
2021-01-03,5.775749,3.97766,"26,013.80",0.32%,0.0032,0.32,,,,
2021-01-04,6.402525,10.85186,"26,105.20",0.35%,0.00,0.35,"1,906.10",2.37%,"3,700.65",-1.48%
2021-01-05,6.643146,3.75822,"27,638.80",5.87%,0.06,5.87,"1,938.40",0.40%,"3,726.86",0.71%
2021-01-06,7.286299,9.681452,"29,820.40",7.89%,0.08,7.89,"1,902.60",-2.34%,"3,748.14",0.57%
2021-01-07,8.057765,10.5879,"32,006.00",7.33%,0.07,7.33,"1,907.50",0.26%,"3,803.79",1.48%
2021-01-08,8.295908,2.955447,"33,099.70",3.42%,0.03,3.42,"1,827.80",-4.09%,"3,824.68",0.55%
2021-01-09,8.262503,-0.40267,"32,369.90",-2.20%,-0.022,-2.2,,,,
2021-01-10,8.569197,3.711878,"31,026.20",-4.15%,-0.0415,-4.15,,,,
2021-01-11,8.313849,-2.97984,"29,107.50",-6.18%,-0.06,-6.18,"1,817.10",0.84%,"3,799.61",-0.66%
2021-01-12,7.348896,-11.6066,"27,928.40",-4.05%,-0.04,-4.05,"1,835.80",-0.36%,"3,801.19",0.04%
2021-01-13,7.318399,-0.41499,"30,737.00",10.06%,0.10,10.06,"1,841.60",0.58%,"3,809.84",0.23%
2021-01-14,7.961185,8.783151,"32,215.50",4.81%,0.05,4.81,"1,826.60",-0.19%,"3,795.54",-0.38%
2021-01-15,8.26477,3.813314,"30,502.40",-5.32%,-0.05,-5.32,"1,822.10",-1.16%,"3,768.25",-0.72%
2021-01-16,8.213937,-0.61506,"29,823.80",-2.22%,-0.0222,-2.22,,,,
2021-01-17,8.656492,5.387855,"29,632.00",-0.64%,-0.01,-0.64,"1,803.60",-1.10%,,
2021-01-18,9.032447,4.343041,"30,290.10",2.22%,0.02,2.22,"1,809.65",1.48%,,
2021-01-19,8.898496,-1.483,"29,641.20",-2.14%,-0.02,-2.14,"1,800.80",0.20%,"3,798.91",0.81%
2021-01-20,9.228103,3.704075,"29,298.10",-1.16%,-0.01,-1.16,"1,831.10",1.43%,"3,851.85",1.39%
2021-01-21,8.905793,-3.4927,"25,353.40",-13.46%,-0.13,-13.46,"1,857.50",-0.03%,"3,853.07",0.03%
2021-01-22,7.642128,-14.1892,"27,133.30",7.02%,0.07,7.02,"1,836.30",-0.52%,"3,841.47",-0.30%
2021-01-23,8.336962,9.092153,"26,385.60",-2.76%,-0.0276,-2.76,,,,
2021-01-24,8.53979,2.432877,"26,522.70",0.52%,0.0052,0.52,,,,
2021-01-25,8.790107,2.931184,"26,615.20",0.35%,0.00,0.35,"1,850.00",0.15%,"3,855.36",0.36%
2021-01-26,8.653711,-1.5517,"26,734.20",0.45%,0.00,0.45,"1,851.10",-0.23%,"3,849.62",-0.15%
2021-01-27,8.68131,0.318927,"25,153.70",-5.91%,-0.06,-5.91,"1,832.40",-0.32%,"3,750.77",-2.57%
2021-01-28,8.030758,-7.49371,"27,542.50",9.50%,0.10,9.50,"1,835.60",-0.42%,"3,787.38",0.98%
2021-01-29,8.786275,9.407792,"28,294.50",2.73%,0.03,2.73,"1,841.20",0.49%,"3,714.24",-1.93%
2021-01-30,8.928529,1.619048,"28,266.60",-0.10%,-0.001,-0.1,,,,
2021-01-31,9.333497,4.535663,"27,355.50",-3.22%,-0.0322,-3.22,,,,
2021-02-01,9.354319,0.223089,"27,796.70",1.61%,0.02,1.61,"1,851.70",0.74%,"3,773.86",1.61%
2021-02-02,9.950205,6.37017,"29,482.00",6.06%,0.06,6.06,"1,830.40",-1.64%,"3,826.31",1.39%
2021-02-03,10.67458,7.280041,"31,266.70",6.05%,0.06,6.05,"1,830.10",0.09%,"3,830.17",0.10%
2021-02-04,11.14751,4.430355,"30,933.70",-1.06%,-0.01,-1.06,"1,784.60",-2.39%,"3,871.74",1.09%
2021-02-05,11.19365,0.413931,"31,825.50",2.88%,0.03,2.88,"1,792.20",1.22%,"3,886.83",0.39%
2021-02-06,12.32534,10.11011,"32,617.50",2.49%,0.0249,2.49,,,,
2021-02-07,12.78791,3.753,"32,298.10",-0.98%,-0.0098,-0.98,,,,
2021-02-08,12.57971,-1.62813,"38,523.70",19.28%,0.19,19.28,"1,807.30",1.17%,"3,915.59",0.74%
2021-02-09,13.5087,7.384903,"38,407.10",-0.30%,0.00,-0.30,"1,830.30",0.18%,"3,911.23",-0.11%
2021-02-10,14.13712,4.651964,"37,032.00",-3.58%,-0.04,-3.58,"1,834.00",0.28%,"3,909.88",-0.03%
2021-02-11,15.58953,10.27369,"39,548.00",6.79%,0.07,6.79,"1,821.70",-0.86%,"3,916.38",0.17%
2021-02-12,17.75177,13.86986,"39,156.80",-0.99%,-0.01,-0.99,"1,810.10",-0.20%,"3,934.83",0.47%
2021-02-13,19.244,8.406056,"39,057.50",-0.25%,-0.0025,-0.25,,,,
2021-02-14,19.42689,0.950395,"40,205.60",2.94%,0.03,2.94,"1,820.15",-0.12%,,
2021-02-15,18.90958,-2.66286,"39,570.30",-1.58%,-0.02,-1.58,"1,815.60",-0.13%,,
2021-02-16,18.51761,-2.0729,"40,677.80",2.80%,0.03,2.80,"1,788.10",-1.09%,"3,932.59",-0.06%
2021-02-17,18.15149,-1.97711,"43,292.30",6.43%,0.06,6.43,"1,767.90",-1.46%,"3,931.33",-0.03%
2021-02-18,18.68655,2.947719,"42,740.50",-1.27%,-0.01,-1.27,"1,766.60",0.12%,"3,913.97",-0.44%
2021-02-19,19.23557,2.938071,"46,108.70",7.88%,0.08,7.88,"1,759.00",0.14%,"3,906.71",-0.19%
2021-02-20,19.52557,1.507613,"46,261.40",0.33%,0.0033,0.33,,,,
2021-02-21,20.829,6.675488,"47,427.40",2.52%,0.0252,2.52,,,,
2021-02-22,20.65966,-0.81298,"44,570.20",-6.02%,-0.06,-6.02,"1,778.60",1.74%,"3,876.50",-0.77%
2021-02-23,19.67303,-4.77566,"40,253.90",-9.68%,-0.10,-9.68,"1,794.50",-0.14%,"3,881.37",0.13%
2021-02-24,16.70475,-15.0881,"40,915.10",1.64%,0.02,1.64,"1,782.20",-0.44%,"3,925.43",1.14%
2021-02-25,17.83359,6.757642,"38,797.10",-5.18%,-0.05,-5.18,"1,763.90",-1.25%,"3,829.34",-2.45%
2021-02-26,17.79959,-0.19065,"38,480.50",-0.82%,-0.01,-0.82,"1,714.90",-2.62%,"3,811.15",-0.48%
2021-02-27,17.96309,0.918532,"38,358.80",-0.32%,-0.0032,-0.32,,,,
2021-02-28,18.87972,5.102836,"37,385.00",-2.54%,-0.0254,-2.54,,,,
2021-03-01,18.35141,-2.79826,"41,224.50",10.27%,0.10,10.27,"1,717.20",-0.34%,"3,901.82",2.38%
2021-03-02,19.63748,7.008011,"40,153.40",-2.60%,-0.03,-2.60,"1,704.60",0.62%,"3,870.29",-0.81%
2021-03-03,18.88007,-3.85699,"41,923.30",4.41%,0.04,4.41,"1,699.40",-1.03%,"3,819.72",-1.31%
2021-03-04,19.80268,4.88672,"40,493.40",-3.41%,-0.03,-3.41,"1,687.60",-0.88%,"3,768.47",-1.34%
2021-03-05,18.53464,-6.40336,"40,926.70",1.07%,0.01,1.07,"1,683.00",-0.13%,"3,841.94",1.95%
2021-03-06,19.1693,3.424161,"41,019.10",0.23%,0.0023,0.23,,,,
2021-03-07,18.90093,-1.39998,"42,709.90",4.12%,0.0412,4.12,,,,
2021-03-08,19.08025,0.948731,"44,115.20",3.29%,0.03,3.29,"1,673.30",-1.21%,"3,821.35",-0.54%
2021-03-09,19.64858,2.978629,"46,142.20",4.59%,0.05,4.59,"1,676.70",2.32%,"3,875.44",1.42%
2021-03-10,21.02952,7.028192,"46,888.20",1.62%,0.02,1.62,"1,705.60",0.29%,"3,898.81",0.60%
2021-03-11,20.27743,-3.57635,"45,687.00",-2.56%,-0.03,-2.56,"1,721.70",0.79%,,
